DSC BCEL,DSC DL,HD95 BCEL,HD95 DL
0.860856,0.841542,10.0125,10.625
0.852302,0.847158,12.30368,11.56783
0.867962,0.857698,11.12418,11.54776
0.867621,0.852302,11.29008,12.4572
0.886702,0.881448,9.171372,8.899823
0.848869,0.83351,12.74084,14.25647
0.772754,0.766708,42.36886,41.81392
0.857101,0.832771,11.04412,12.06519
,,,
0.833144,0.84346,11.19153,10.06843
0.85905,0.848936,12.10364,11.05434
0.858934,0.836326,13.35195,14.07606
0.874546,0.861977,8.286407,9.375
0.777364,0.771029,19.36006,19.32706
0.391135,0.379626,100.379,100.7668
0.755174,0.739569,12.23473,14.0236
0.842987,0.824125,11.54163,12.67577
0.868676,0.855415,9.316549,9.606834
0.871197,0.869835,8.203125,8.203125
0.85764,0.850625,10.59998,10
0.83191,0.799003,13.83219,16.38281
0.671845,0.671321,20.52681,19.96334
0.835739,0.838059,10.80415,10.33762
0.857982,0.842245,10.535,10.54688
0.841472,0.821462,11.04412,11.05545
0.818191,0.778379,11.7772,14.0625
,,,
0.870921,0.857819,8.627773,9.447958
0.816789,0.772085,14.15982,15.21424
0.866219,0.839447,7.791378,9.447958
0.857356,0.848656,7.861176,8.467107
0.739062,0.709979,19.72111,20
0.818708,0.791353,15.04571,15
0.866414,0.85315,9.943689,10
0.852254,0.835871,9.678044,10
0.869753,0.853554,10.54688,11.05545
0.792789,0.783681,17.45338,15.93922
0.848182,0.822779,10.0125,11.29008
0.841707,0.820759,11.82478,12.98709
0.850244,0.813645,13.07564,13.7141
0.829105,0.861358,12.2285,10
0.796864,0.826703,12.4572,10.88043
0.811525,0.845877,10.856,10
0.705189,0.556296,28.72068,204.587
0.815356,0.838226,10,9.943689
0.837478,0.846312,10.48157,10.06843
0.774719,0.805987,15,11.64927
0.763436,0.799583,15.36185,14.91553
0.843303,0.858079,11.17652,10.34707
0.68551,0.686169,12.62148,13.40339
0.764256,0.766663,14.0236,17.50784
0.844584,0.871312,10.14603,8.283092
0.79766,0.834881,12.13354,10.48157
0.814557,0.836184,14.97088,15.04571
0.830755,0.855383,11.25271,9.818917
0.768466,0.814707,12.99579,10.42998
0.755778,0.763372,10.0125,10
0.814878,0.722929,16.08261,156.5431
0.824191,0.864962,10.68943,8.924734
0.74059,0.805859,13.57578,10.54688
0.845167,0.758415,10.08085,13.09241
0.856303,0.789892,11.67204,14.0236
0.871153,0.788526,10,13.10196
0.590052,0.613912,32.79585,27.43801
,,,
0.881525,0.80017,8.706995,12.78878
0.845134,0.813482,10.41219,13.10196
0.871736,0.74083,10,20.06245
0.827015,0.757823,18.8717,13.0602
0.84341,0.775312,11.90503,14.55748
0.857101,0.733732,11.14897,18.46334
0.853448,0.74584,15.12425,14.59935
0.816086,0.766948,10.80415,15.41361
0.807922,0.672355,12.44935,19.88738
0.790026,0.803754,15.41361,11.71875
0.867042,0.770116,10,14.15982
0.840754,0.824399,10.27099,10.625
0.865441,0.800397,9.663528,11.04412
0.856983,0.777415,9.606834,15.0522
0.839283,0.881818,13.16545,10
0.844312,0.809434,10,13.62626
0.796928,0.84089,10.54688,23.69971
0.804886,,19.72111,
,0.589123,,28.77228
0.642187,0.879738,22.26563,10
0.783795,0.855415,13.25825,12.74084
0.827453,0.865515,11.90503,10.535
0.866538,0.862472,9.152637,9.678044
0.822003,0.746211,12.23473,17.15124
0.713749,,13.94263,
,0.86279,,14.11124
0.830055,0.883399,11.04412,10.72164
0.81336,0.826607,14.62154,17.92624
0.79461,0.873156,10.625,11.13
0.822473,0.851967,13.71644,14.0625
0.786435,0.880868,15,10
0.849257,0.866639,10,10.54688
0.844644,0.884525,10.88043,12.84521
0.844516,0.897439,12.84521,8.531379
0.815491,,12.62148,
